      id      |    ?column?    |       replace        
 243028482100 | no_left_turn   | 34.194687,108.888114
 243065863100 | no_left_turn   | 34.246338,109.004207
 243065863100 | no_left_turn   | 34.247072,109.003227
 243124538100 | no_left_turn   | 34.280322,108.960636
 243128487100 | no_left_turn   | 34.232581,108.889689
 243128487100 | no_left_turn   | 34.232686,108.889564
 243172371100 | no_left_turn   | 34.202621,108.815397
 243172371100 | no_left_turn   | 34.202692,108.815404
 243198743100 | no_left_turn   | 34.241133,108.963203
 243198743100 | no_left_turn   | 34.241190,108.963806
 243198743100 | no_left_turn   | 34.241445,108.963794
 243244352100 | no_left_turn   | 34.204250,108.813591
 243244352100 | no_left_turn   | 34.205309,108.814442
 243312245100 | no_left_turn   | 34.190826,108.864001
 243312245100 | no_left_turn   | 34.191162,108.863794
 243312245100 | no_left_turn   | 34.191242,108.863799
 243316887100 | no_left_turn   | 34.264236,109.069928
 243316887100 | no_left_turn   | 34.264443,109.068932
 243407404100 | no_left_turn   | 34.242705,108.972392
 243407404100 | no_left_turn   | 34.243647,108.972233
 243407404100 | no_left_turn   | 34.243649,108.971271
 243407404100 | no_left_turn   | 34.243651,108.972393
 243468251100 | no_left_turn   | 34.282023,108.823583
 243468251100 | no_left_turn   | 34.282122,108.823334
 243468251100 | no_left_turn   | 34.282126,108.823038
 243468251100 | no_left_turn   | 34.282182,108.823401
 243468251100 | no_left_turn   | 34.282217,108.823448
 243524090100 | no_left_turn   | 34.265758,108.805009
 243524090100 | no_left_turn   | 34.265833,108.806899
 243540090100 | no_left_turn   | 34.273625,108.947073
 243540090100 | no_left_turn   | 34.273626,108.947281
 243540090100 | no_left_turn   | 34.273631,108.947146
 243585648100 | no_left_turn   | 34.210752,108.931116
 243585648100 | no_left_turn   | 34.211117,108.931112
 243591860100 | no_left_turn   | 34.310594,108.995462
 243591860100 | no_left_turn   | 34.310654,108.995554
 243601090100 | no_left_turn   | 34.205443,108.812526
 243601090100 | no_left_turn   | 34.208373,108.809918
 243623237100 | no_left_turn   | 34.203060,108.814443
 243623237100 | no_left_turn   | 34.204250,108.813591
 243649857100 | no_left_turn   | 34.184193,108.912399
 243649857100 | no_left_turn   | 34.184499,108.912146
 243651953100 | no_left_turn   | 34.241040,108.939053
 243651953100 | no_left_turn   | 34.241043,108.939158
 243651953100 | no_left_turn   | 34.241148,108.939158
 243651953100 | no_left_turn   | 34.241151,108.939054
 243651953100 | no_left_turn   | 34.241191,108.939157
 243651953100 | no_left_turn   | 34.241587,108.939153
 243681998100 | no_left_turn   | 34.251584,108.936044
 243681998100 | no_left_turn   | 34.252042,108.936035
 243733105100 | no_left_turn   | 34.251717,108.889836
 243733105100 | no_left_turn   | 34.252237,108.889843
 243733105100 | no_left_turn   | 34.252340,108.889843
 243733105100 | no_left_turn   | 34.252345,108.889332
 243759475100 | no_left_turn   | 34.294852,108.922864
 243759475100 | no_left_turn   | 34.295122,108.922865
 243803496100 | no_left_turn   | 34.269542,108.932541
 243803496100 | no_left_turn   | 34.269615,108.932851
 243803496100 | no_left_turn   | 34.270584,108.933005
 243809833100 | no_left_turn   | 34.240870,108.932134
 243809833100 | no_left_turn   | 34.240994,108.932140
 243809833100 | no_left_turn   | 34.241149,108.932102
 243809833100 | no_left_turn   | 34.241178,108.932091
 243809833100 | no_left_turn   | 34.241271,108.932275
 243809833100 | no_left_turn   | 34.241274,108.932091
 243829169100 | no_left_turn   | 34.241040,108.939053
 243829169100 | no_left_turn   | 34.241043,108.939158
 243829169100 | no_left_turn   | 34.241151,108.939054
 243829169100 | no_left_turn   | 34.241160,108.939708
 243829169100 | no_left_turn   | 34.241191,108.939053
 243829169100 | no_left_turn   | 34.242281,108.939066
 243850897100 | no_left_turn   | 34.334355,109.017875
 243850897100 | no_left_turn   | 34.334474,109.017680
 243850897100 | no_left_turn   | 34.334514,109.017759
 243964680100 | no_left_turn   | 34.241184,108.964907
 243964680100 | no_left_turn   | 34.241337,108.965920
 243964680100 | no_left_turn   | 34.241830,108.965912
 244010352100 | no_left_turn   | 34.269409,108.995719
 244010352100 | no_left_turn   | 34.269423,108.996532
 244010352100 | no_left_turn   | 34.269570,108.995426
 244010352100 | no_left_turn   | 34.269705,108.995432
 244124018100 | no_left_turn   | 34.179462,108.851865
 244124018100 | no_left_turn   | 34.179472,108.851929
 244196084100 | no_left_turn   | 34.214532,108.938930
