 prn_code |     prn_name     | fc |     off_dis      |     alt_dis      |     rou_dis      
 370000   | 山东省           | 1  | 13678511.1023597 | 7391573.16410119 | 12346551.4212332
 370000   | 山东省           | 2  |  11545072.295127 | 4936944.28839106 | 10249695.7869331
 370000   | 山东省           | 3  | 29550403.4008981 | 9358393.46647639 | 22026945.3608079
 370000   | 山东省           | 4  | 14495166.9816765 | 1395976.66906567 | 561334.183077692
 370000   | 山东省           | 5  | 55430760.7260915 | 3247847.91942203 | 13954645.8744628
 410000   | 河南省           | 1  | 15122695.2319107 | 4963873.38002713 |  13257144.235731
 410000   | 河南省           | 2  | 9046273.37876097 | 3438598.74041748 | 7593223.38995026
 410000   | 河南省           | 3  | 18843696.5847589 | 5766887.28277791 | 15909541.5328755
 410000   | 河南省           | 4  | 9275490.58215469 | 1146638.62255796 | 717905.360598606
 410000   | 河南省           | 5  | 58824981.5290218 | 4301280.65493768 | 33822195.7954733
 420000   | 湖北省           | 1  | 13527154.7836315 |  7949212.7867345 | 12900405.9234685
 420000   | 湖北省           | 2  | 8977662.57001523 | 3709093.66310826 | 6921538.70521307
 420000   | 湖北省           | 3  | 13155908.8752238 | 4468548.76316026 | 10759824.2281804
 420000   | 湖北省           | 4  | 4720433.67717497 | 589632.662824445 |  532592.27549855
 420000   | 湖北省           | 5  | 52124696.5578503 | 3602950.90772116 | 29184544.1583462
 430000   | 湖南省           | 1  | 14115118.7337796 | 5576336.77155604 | 13056350.2228348
 430000   | 湖南省           | 2  | 6641419.36622887 | 1592397.23915913 |  5357144.6498871
 430000   | 湖南省           | 3  | 12644280.4634845 | 2790808.65480675 | 10383254.0426766
 430000   | 湖南省           | 4  | 5396446.32900705 | 539339.939163101 | 2034590.74092971
 430000   | 湖南省           | 5  | 53731684.9663191 | 2706238.52440281 |  39002614.768491
 440000   | 广东省           | 1  | 20087068.7675519 | 10509772.4376469 | 17266115.0452888
 440000   | 广东省           | 2  | 11611409.4616803 | 4346575.18011873 | 8789843.43660315
 440000   | 广东省           | 3  | 22384776.4706195 | 8092952.77489635 | 18076119.3978193
 440000   | 广东省           | 4  | 13669394.4040825 | 2754387.89927804 | 1776468.02191496
 440000   | 广东省           | 5  | 103296351.403762 |  7147930.3352212 | 56445097.4984521
 450000   | 广西壮族自治区   | 1  | 12375522.5795267 | 6430744.51328441 | 11251340.8078345
 450000   | 广西壮族自治区   | 2  | 6570025.77949054 | 2238224.54213164 | 5475221.64626242
 450000   | 广西壮族自治区   | 3  | 10111954.1715866 | 1955784.93740406 | 8321317.82998332
 450000   | 广西壮族自治区   | 4  |  1932000.9542292 | 217461.845139311 | 75801.6420258989
 450000   | 广西壮族自治区   | 5  | 42682884.4427804 | 1442685.51847239 | 31353448.0401044
 460000   | 海南省           | 1  | 2534039.22347876 | 1622345.47181291 | 1981162.41572585
 460000   | 海南省           | 2  |  1366932.8906602 | 260798.969179855 | 1142560.62469706
 460000   | 海南省           | 3  | 2639006.02596306 | 480122.603306255 | 1908933.02695593
 460000   | 海南省           | 4  | 594930.968141476 |  77513.225743778 |  49394.511270087
 460000   | 海南省           | 5  | 9778974.81139019 | 250836.311103596 | 6877174.35339412
 500000   | 重庆市           | 1  | 7040623.95177749 | 4143756.73215036 | 5400851.68375174
 500000   | 重庆市           | 2  | 1916809.90453039 | 1053848.85699466 | 1529332.26383657
 500000   | 重庆市           | 3  | 9271302.42412725 | 6243061.18383073 | 7359756.36877711
 500000   | 重庆市           | 4  | 2069159.81581477 | 425065.845056566 | 359126.762218527
 500000   | 重庆市           | 5  | 27814599.0603981 | 4414774.52199259 | 17992542.4718812
 510000   | 四川省           | 1  | 16311980.6899479 | 10574789.5793943 | 14343915.8752212
 510000   | 四川省           | 2  | 8162727.00584536 |  3296533.0163981 | 6577778.89700111
 510000   | 四川省           | 3  |  17003273.816468 | 6402113.14847416 | 13230692.7109672
 510000   | 四川省           | 4  | 7626447.41761374 | 1619263.34259263 | 752789.226263183
 510000   | 四川省           | 5  | 78274880.0130178 |  6897589.1571647 | 37606106.1809801
 520000   | 贵州省           | 1  | 14694717.8814216 | 6957647.38360429 | 12296975.6251852
 520000   | 贵州省           | 2  | 4425932.04098563 |  1518779.5361424 | 3229815.57584341
 520000   | 贵州省           | 3  | 10540557.6997196 | 2098363.85219378 |   8088588.704488
 520000   | 贵州省           | 4  | 1862242.07766332 | 293378.200624443 | 422466.852681908
 520000   | 贵州省           | 5  | 28874499.1350292 |  1296300.0796873 | 20379837.7600624
 530000   | 云南省           | 1  | 12914243.2133697 | 7381312.51158489 | 11151790.2515299
 530000   | 云南省           | 2  | 7077985.93258975 | 2687509.68279399 | 6323293.94084448
 530000   | 云南省           | 3  |  13020672.735622 | 4448446.46416181 | 11294443.5620985
 530000   | 云南省           | 4  | 2725849.47998344 | 576976.909942955 | 607309.089447044
 530000   | 云南省           | 5  | 114580239.854829 | 28208590.5702696 | 69706254.7465377
 540000   | 西藏自治区       | 1  | 5205465.37651026 | 477922.285734721 | 4229278.65338093
 540000   | 西藏自治区       | 2  | 2126426.43672801 | 190587.958354118 | 2092950.93506052
 540000   | 西藏自治区       | 3  | 5530041.11422642 | 421169.810317275 | 5429914.14245658
 540000   | 西藏自治区       | 4  | 292181.064925697 | 38484.7329701381 | 7434.90078973406
 540000   | 西藏自治区       | 5  | 20285361.7949606 | 1082636.66938011 | 16109507.0616722
 610000   | 陕西省           | 1  | 11339974.9952756 | 6995908.87577723 | 9631632.57452523
 610000   | 陕西省           | 2  | 6570849.83783925 | 2014001.66290406 |   5282816.025542
 610000   | 陕西省           | 3  | 8310393.79133262 | 2012142.18357562 | 6090482.14902516
 610000   | 陕西省           | 4  | 3770594.84518212 | 922124.796804736 |  776657.36962353
 610000   | 陕西省           | 5  | 40529612.2250181 | 14890536.9003504 | 16310719.2857171
 620000   | 甘肃省           | 1  | 10351850.2851761 | 5276277.05363478 |  9256096.2265237
 620000   | 甘肃省           | 2  | 4740900.51670731 | 1204281.19513574 | 4253166.40413748
 620000   | 甘肃省           | 3  | 7703899.43251912 | 1440101.04881458 | 6736447.90966337
 620000   | 甘肃省           | 4  | 1115726.72801563 |   148015.5223935 | 24363.9659727359
 620000   | 甘肃省           | 5  | 30424661.9435771 |  2107459.1676257 | 23271114.9253216
 630000   | 青海省           | 1  | 8455247.38666695 | 2726644.56468525 | 6523000.81925522
 630000   | 青海省           | 2  | 3020088.32579767 | 529904.745314308 | 2819271.50133124
 630000   | 青海省           | 3  | 4983576.83685566 | 1118731.99785627 | 4720149.10469214
 630000   | 青海省           | 4  | 556507.015294098 | 124809.194286667 | 129111.529370249
 630000   | 青海省           | 5  | 13463306.7316473 | 3627575.97804926 | 8815870.97982025
 640000   | 宁夏回族自治区   | 1  | 3812663.70447579 | 2160244.92135047 | 3497257.68092012
 640000   | 宁夏回族自治区   | 2  | 1707747.77337886 | 643888.935441462 | 1354482.69020591
 640000   | 宁夏回族自治区   | 3  | 2965117.29267088 | 900773.908717417 | 2080445.35421682
 640000   | 宁夏回族自治区   | 4  | 2541045.21015519 | 324039.452768208 | 111569.708781704
 640000   | 宁夏回族自治区   | 5  | 10522468.1315594 | 436728.746000072 | 3242383.09935854
 650000   | 新疆维吾尔自治区 | 1  |  19570618.380101 | 8341155.59211264 | 18775153.1016923
 650000   | 新疆维吾尔自治区 | 2  | 8004302.23618236 | 1181287.72979978 | 7303780.97815896
 650000   | 新疆维吾尔自治区 | 3  | 13896017.6603852 | 3095199.99626226 | 12395108.1036348
 650000   | 新疆维吾尔自治区 | 4  | 3143774.62387748 | 382199.100600066 | 299338.706180187
 650000   | 新疆维吾尔自治区 | 5  | 68161347.6273488 | 13848213.6405309 | 49356782.5766251
 810000   | 香港特别行政区   | 1  | 567313.486806043 |  488229.34168178 | 442737.755680676
 810000   | 香港特别行政区   | 2  | 37458.0122524969 | 16676.4711704131 | 10594.8849686276
 810000   | 香港特别行政区   | 3  | 271836.902192409 | 20833.6056488412 |                0
 810000   | 香港特别行政区   | 4  | 866188.908480669 | 83716.8762769105 | 136.415509125295
 810000   | 香港特别行政区   | 5  | 2163614.98477589 | 40512.5023665574 | 1018.40746123429
 820000   | 澳门特别行政区   | 4  | 163535.606602308 | 4572.76916505655 |                0
 820000   | 澳门特别行政区   | 5  | 190126.293045814 | 18623.0121601637 |                0

