      id       |        ?column?        
 3230031435121 | 柳州市
 3240111361121 | 桂林市
 3250012165121 | 梧州市
 3260010063121 | 北海市
 3270010655121 | 防城港市
 3280018985121 | 钦州市
 3290020898121 | 贵港市
 3300036720121 | 玉林市
 3310012114121 | 百色市
 3320012518121 | 贺州市
 3330058529121 | 河池市
 3340002247121 | 来宾市
 3350014593121 | 崇左市
 3360010495121 | 海口市
 3370001725121 | 三亚市
 3380000417121 | 五指山市
 3390000460121 | 琼海市
 3400001236121 | 儋州市
 3410001015121 | 文昌市
 3420000929121 | 万宁市
 3430000449121 | 东方市
 3440000345121 | 定安县
 3450000409121 | 屯昌县
 3460000492121 | 澄迈县
 3470000301121 | 临高县
 3480000299121 | 白沙黎族自治县
 3490000429121 | 昌江黎族自治县
 3500000119121 | 乐东黎族自治县
 3510000400121 | 陵水黎族自治县
 3520000245121 | 保亭黎族苗族自治县
 3530000511121 | 琼中黎族苗族自治县
 3540000009121 | 三沙市
 3570159741121 | 重庆市
 3580055932121 | 成都市
 3590010697121 | 自贡市
 3600001370121 | 攀枝花市
 3610002484121 | 泸州市
 3620026381121 | 德阳市
 3630024754121 | 绵阳市
 3640003638121 | 广元市
 3650002479121 | 遂宁市
 3660008608121 | 内江市
 3670027626121 | 乐山市
 3680019663121 | 南充市
 3690002043121 | 眉山市
 3700002343121 | 宜宾市
 3710003063121 | 广安市
 3720002689121 | 达州市
 3730016664121 | 雅安市
 3740000720121 | 巴中市
 3750002288121 | 资阳市
 3760000451121 | 阿坝藏族羌族自治州
 3770003230121 | 甘孜藏族自治州
 3780002237121 | 凉山彝族自治州
 3790009656121 | 贵阳市
 3800001586121 | 六盘水市
 3810036478121 | 遵义市
 3820001837121 | 安顺市
 3830002387121 | 铜仁市
 3840001510121 | 黔西南布依族苗族自治州
 3850005451121 | 毕节市
 3860001385121 | 黔东南苗族侗族自治州
 3870003755121 | 黔南布依族苗族自治州
 3880112412121 | 昆明市
 3890006658121 | 曲靖市
 3900004181121 | 玉溪市
 3910002789121 | 保山市
 3920004098121 | 昭通市
 3930002341121 | 丽江市
 3940006140121 | 普洱市
 3950008058121 | 临沧市
 3960004788121 | 楚雄彝族自治州
 3970003512121 | 红河哈尼族彝族自治州
 3980002318121 | 文山壮族苗族自治州
 3990001256121 | 西双版纳傣族自治州
 4000005584121 | 大理白族自治州
 4010002207121 | 德宏傣族景颇族自治州
 4020002321121 | 怒江傈僳族自治州
 4030000852121 | 迪庆藏族自治州
 4040007082121 | 拉萨市
 4050002489121 | 昌都市
 4060001201121 | 山南市
 4070006482121 | 日喀则市
 4080004575121 | 那曲市
 4090005239121 | 阿里地区
 4100001303121 | 林芝市
 4110499989121 | 西安市
 4120003706121 | 铜川市
 4130009929121 | 宝鸡市
 4140017041121 | 咸阳市
 4150064724121 | 渭南市
 4160008532121 | 延安市
 4170011940121 | 汉中市
 4180066614121 | 榆林市
 4190006743121 | 安康市
 4200004874121 | 商洛市
 4210023974121 | 兰州市
 4220000933121 | 嘉峪关市
 4230000483121 | 金昌市
 4240002064121 | 白银市
 4250003499121 | 天水市
 4260001407121 | 武威市
 4270001372121 | 张掖市
 4280001897121 | 平凉市
 4290000887121 | 酒泉市
 4300000957121 | 庆阳市
 4310014624121 | 定西市
 4320002356121 | 陇南市
 4330000912121 | 临夏回族自治州
 4340000775121 | 甘南藏族自治州
 4350013893121 | 西宁市
 4360002387121 | 海东市
 4370001218121 | 海北藏族自治州
 4380000804121 | 黄南藏族自治州
 4390001496121 | 海南藏族自治州
 4400000595121 | 果洛藏族自治州
 4410003205121 | 玉树藏族自治州
 4420001680121 | 海西蒙古族藏族自治州
 4430003214121 | 银川市
 4440013216121 | 石嘴山市
 4450000888121 | 吴忠市
 4460005965121 | 固原市
 4470000219121 | 中卫市
 4480010727121 | 乌鲁木齐市
 4490003658121 | 克拉玛依市
 4500002538121 | 吐鲁番市
 4510008087121 | 哈密市
 4520004088121 | 昌吉回族自治州
 4530000702121 | 博尔塔拉蒙古自治州
 4540002617121 | 巴音郭楞蒙古自治州
 4550001399121 | 阿克苏地区
 4560000332121 | 克孜勒苏柯尔克孜自治州
 4570000388121 | 喀什地区
 4580002342121 | 和田地区
 4590007235121 | 伊犁哈萨克自治州
 4600000426121 | 塔城地区
 4610000859121 | 阿勒泰地区
 4620000152121 | 石河子市
 4630000177121 | 阿拉尔市
 4640000089121 | 图木舒克市
 4650000093121 | 五家渠市
 4660028286121 | 香港
 4670004805121 | 澳门
 4680000009121 | 台北市
 4690000070121 | 北屯市
 4700000037121 | 铁门关市
 4710000110121 | 双河市
 4720000036121 | 可克达拉市
 4730000072121 | 昆玉市
(370 rows)

