12529429	1
12529431	1
12529432	1
12529436	1
12529437	1
12529438	1
12529440	5
12529441	1
12529443	1
12529444	1
12529446	1
12529447	1
12529449	1
12529450	1
12530344	1
12530345	1
12530347	1
12530348	1
12530349	1
12659557	5
12659558	5
12659559	5
12659560	5
12672321	1
12672322	1
12672324	1
12703055	1
12703056	1
12703057	1
12703059	1
12703063	1
12703064	1
12703066	1
12703075	1
12703076	1
12721830	1
12721831	1
12721832	1
12721833	1
12721835	1
12723548	1
12831515	1
12831516	1
12831517	1
12831518	1
12831522	1
12831524	1
12831525	1
12831526	1
12831527	1
12831528	1
12831532	1
12831533	1
12831535	1
12831537	1
12831550	1
12831552	1
12831553	1
12831554	1
12831555	1
12831556	1
12831558	1
12831560	1
12831561	1
12831562	1
12831563	1
12831568	1
12831569	1
12831570	1
12831571	1
12831572	1
12831574	1
12831575	1
12831576	1
12831577	1
12831578	1
12831580	1
12831581	1
12831583	1
12831584	1
12831586	1
12831588	1
12831589	1
12831591	1
12831598	1
12831601	1
12831602	1
12831603	1
12831604	1
12831605	1
12831606	1
12831608	1
12831609	1
12831610	1
12831611	1
12831612	1
12831614	1
12831616	1
12831617	1
12831618	1
12831619	1
12831620	1
12831621	1
12831622	1
12831625	1
12831626	1
12831628	1
12831629	1
12831630	1
12831631	1
12831633	1
12831635	1
12831636	1
12831638	1
12831640	1
12831641	1
12831643	1
12831646	1
12831647	1
12831648	1
12831649	1
12831650	1
12831651	1
12831652	1
12831654	1
12831656	1
12831657	1
12831658	1
12831659	1
12831661	1
12831662	1
12831665	1
12831666	1
12831668	1
12831670	1
12831671	1
12831672	1
12831674	1
12831675	1
12831680	1
12831683	1
12831685	1
12831686	1
12831689	1
12831692	1
12831694	1
12831697	1
12831698	1
12831699	1
12831700	1
12831701	1
12831702	1
12831704	1
12831705	1
12831716	1
12831717	1
12831718	1
12831719	1
12831721	1
12831722	1
12831723	1
12831724	1
12831726	1
12831729	1
12831730	1
12831731	1
12831732	1
12831733	1
12831736	1
12831737	1
12831739	1
12831741	1
12831742	1
12831743	1
12831744	1
12831745	1
12831746	1
12831747	1
12831748	1
12831749	1
12831750	1
12831752	1
12831753	1
12831754	1
12831755	1
12831756	1
12831757	1
12831759	1
12831760	1
12831761	1
12831762	1
12831764	1
12831766	1
12831767	1
12831769	1
12831770	1
12831771	1
12831772	1
12831773	1
12831776	1
12831778	1
12831780	1
12831781	1
12831783	1
12831784	1
12831785	1
12831789	1
12831792	1
12831793	1
12831795	1
12831796	1
12831799	1
12831801	1
12831803	1
12831804	1
12831806	1
12831810	1
12831812	1
12831813	1
12831815	1
12831816	1
12831819	1
12831820	1
