 prn_code | prn_name | fc |       sum        
 620000   |          | 5  | 29276753.2034067
 630000   |          | 1  | 7930122.55930921
 630000   |          | 2  | 2847088.81770574
 630000   |          | 3  | 4700029.79714002
 630000   |          | 4  | 528965.651102218
 630000   |          | 5  | 12735314.4190781
 640000   |          | 1  | 3709451.89084567
 640000   |          | 2  | 1663030.54784183
 640000   |          | 3  | 2885201.94502913
 640000   |          | 4  | 2474344.36877948
 640000   |          | 5  | 10238477.2104267
 650000   |          | 1  | 17334772.1796849
 650000   |          | 2  |  6970248.4808817
 650000   |          | 3  | 12361731.5975271
 650000   |          | 4  | 2793899.32178561
 650000   |          | 5  | 60087215.4159962
 810000   |          | 1  | 562130.452124621
 810000   |          | 2  | 37112.9276072265
 810000   |          | 3  | 269404.545914433
 810000   |          | 4  | 858349.097574058
 810000   |          | 5  | 2143878.19247314
 820000   |          | 4  | 161862.501724948
 820000   |          | 5  | 188133.577596523

